code,system
J615C00,readv2
J615600,readv2
J615500,readv2
J615G00,readv2
J615D00,readv2
J615800,readv2
J61y300,readv2
J615100,readv2
J615400,readv2
J615.11,readv2
J615700,readv2
J615z15,readv2
J61y500,readv2
C310400,readv2
J61y400,readv2
J61y600,readv2
K74.2,readv2
K74.1,readv2
K74.0,readv2
J615H00,readv2
C370800,readv2
J615300,readv2
J615z13,readv2
J615z12,readv2
J615711,readv2
C350012,readv2
J612.11,readv2
J612.12,readv2
J615z11,readv2
J615812,readv2
J612000,readv2
J612.00,readv2
J615z00,readv2
J613000,readv2
J615.00,readv2
K70.3,readv2
K70.2,readv2
J635600,readv2
K71.7,readv2
G852200,readv2
G852300,readv2
Jyu7100,readv2
K74.6,readv2
J615y00,readv2
J613.00,readv2
K74.5,readv2
J617000,readv2
J61..00,readv2
J616100,readv2
K74.4,readv2
J616.00,readv2
J616200,readv2
J616z00,readv2
J617.00,readv2
K70.1,readv2